Round,Question,Answer,T_Start,T_ASR_Start,T_ASR_End,T_LLM_Start,T_LLM_End,T_TTS_Start,T_End,L_E2E,L_ASR,L_LLM,L_TTS,TTFT,Latency_Bin
1,今天周几？,无法提供实时信息，建议查看当前日期。是否需要帮助其他问题？,1774600368.2529335,1774600373.2795289,1774600374.759744,1774600374.7599742,1774600409.169073,1774600409.1692412,1774600418.870155,50617.22159385681,6506.810426712036,34409.098863601685,9700.913906097412,34409.098863601685,>30s (极慢)
2,请只回答“收到”这两个字。,收到,1774600421.6718156,1774600426.6999595,1774600428.0271404,1774600428.0273445,1774600449.0934043,1774600449.0935652,1774600450.9998696,29328.053951263428,6355.324745178223,21066.059827804565,1906.3043594360352,21066.059827804565,15-30s (较慢)
3,请用一句话介绍你自己。,我是人工智能助手，专注于提供高效、精准的信息支持与问题解答。,1774600455.302425,1774600460.3315463,1774600461.7374873,1774600461.7376838,1774600489.063453,1774600489.0636177,1774600499.764935,44462.510108947754,6435.062408447266,27325.769186019897,10701.317310333252,27325.769186019897,>30s (极慢)
4,一加一等于几？,一加一等于**二**。,1774600501.3658133,1774600506.3955295,1774600507.725947,1774600507.7261343,1774600529.78806,1774600529.7882092,1774600534.2919629,32926.14960670471,6360.133647918701,22061.925649642944,4503.753662109375,22061.925649642944,>30s (极慢)
5,一百减去二十五等于多少？,75,1774600539.3950224,1774600544.4231524,1774600545.8103604,1774600545.8105438,1774600578.6412444,1774600578.6414275,1774600581.3443449,41949.32246208191,6415.338039398193,32830.700635910034,2702.9173374176025,32830.700635910034,>30s (极慢)
6,如果我有三个苹果，吃了一个还剩几个。,三个苹果减去一个，剩下两个。,1774600584.9464996,1774600589.9752464,1774600591.5522273,1774600591.5525067,1774600618.1243744,1774600618.1245291,1774600623.1255536,38179.05402183533,6605.727672576904,26571.86770439148,5001.024484634399,26571.86770439148,>30s (极慢)
7,先说一，再说二，最后说三。,"一、科技改变了人类生活节奏，提升效率。  
二、技术推动社会进步，促进创新与变革。  
三、未来需平衡发展与伦理，确保可持续性。",1774600626.2274604,1774600631.254945,1774600632.8754678,1774600632.8756409,1774600675.4664643,1774600675.4666414,1774600695.2678952,69040.43483734131,6648.007392883301,42590.82341194153,19801.25379562378,42590.82341194153,>30s (极慢)
8,把“你好”倒过来念。,“你好”倒过来念是“好你”。,1774600698.9703135,1774600704.0001886,1774600705.3706813,1774600705.3708832,1774600747.7653065,1774600747.7654853,1774600752.8666005,53896.286964416504,6400.367736816406,42394.42324638367,5101.1152267456055,42394.42324638367,>30s (极慢)
9,天空是什么颜色？,天空在白天通常呈现蓝色，但颜色会随时间和天气变化。,1774600758.470265,1774600763.4987164,1774600764.7286973,1774600764.7289045,1774600822.2478678,1774600822.2490296,1774600831.1505597,72680.29475212097,6258.432388305664,57518.96333694458,8901.530027389526,57518.96333694458,>30s (极慢)
10,鱼生活在水里还是土里？,鱼生活在水里。,1774600834.7529087,1774600839.780142,1774600841.1012511,1774600841.1014383,1774600859.417457,1774600859.4176097,1774600863.220236,28467.3273563385,6348.342418670654,18316.01881980896,3802.626371383667,18316.01881980896,15-30s (较慢)
11,水的沸点是多少度？,水的沸点在标准大气压（1 atm）下为**100℃**。,1774600865.9217172,1774600870.9474,1774600872.3588529,1774600872.3590865,1774600909.8642814,1774600909.8644338,1774600918.8654394,52943.72224807739,6437.135696411133,37505.194902420044,9001.00564956665,37505.194902420044,>30s (极慢)
12,请列出五种哺乳动物。,牛、羊、猪、狗、猫,1774600922.9681828,1774600927.9999905,1774600929.249481,1774600929.2497663,1774600992.8500376,1774600992.850232,1774600996.255862,73287.67919540405,6281.2981605529785,63600.271224975586,3405.630111694336,63600.271224975586,>30s (极慢)
13,给我讲个笑话。,"为什么兔子不敢在晚上走路？  
因为怕遇到刺猬！",1774601002.9598038,1774601007.9872885,1774601009.3226109,1774601009.3228102,1774601030.241015,1774601030.241257,1774601038.4423196,35482.515811920166,6362.807035446167,20918.20478439331,8201.062679290771,20918.20478439331,>30s (极慢)
