Round,Question,Answer,T_Start,T_ASR_Start,T_ASR_End,T_LLM_Start,T_LLM_End,T_TTS_Start,T_End,L_E2E,L_ASR,L_LLM,L_TTS,TTFT,Latency_Bin
1,今天周几？,我是机器人，目前无法识别出当前的日期，因此无法确定今天的具体日期。,1774599617.8995893,1774599622.9271984,1774599624.199252,1774599624.1994762,1774599629.8629513,1774599629.8631144,1774599640.2637334,22364.14408683777,6299.6625900268555,5663.475036621094,10400.61902999878,5663.475036621094,15-30s (较慢)
2,请只回答收到这两个字。,没有具体信息可作出反应。,1774599642.5650706,1774599647.5921926,1774599648.881662,1774599648.881867,1774599650.7016294,1774599650.7017782,1774599655.0025153,12437.444686889648,6316.591262817383,1819.7624683380127,4300.737142562866,1819.7624683380127,10-15s (一般)
3,请用一句话介绍你自己。,我是一名以技术为主要特点的 artificial intelligence 问题解答系统，旨在提供快速、准确和有趣的信息帮助人类。,1774599657.1037383,1774599662.130818,1774599663.4488218,1774599663.449011,1774599668.1964982,1774599668.196626,1774599688.0971837,30993.44539642334,6345.083475112915,4747.4870681762695,19900.55775642395,4747.4870681762695,>30s (极慢)
4,一加一等于几？,一加一就是两。,1774599693.900713,1774599698.932321,1774599700.20093,1774599700.2010913,1774599701.7327683,1774599701.7328792,1774599704.6335907,10732.877731323242,6300.217151641846,1531.677007675171,2900.7115364074707,1531.677007675171,10-15s (一般)
5,一百减去二十五等于多少？,一 hundred 减去 twenty-five 等于 seventy-five。,1774599708.23572,1774599713.2628922,1774599714.5754318,1774599714.575606,1774599716.7998557,1774599716.7999754,1774599729.5005062,21264.78624343872,6339.711904525757,2224.2496013641357,12700.530767440796,2224.2496013641357,15-30s (较慢)
6,如果我有三个苹果，吃了一个还剩几个？,三个苹果 - 一只吃掉了一个 = 三个苹果。,1774599732.7024343,1774599737.731959,1774599739.1960068,1774599739.1961703,1774599741.7996328,1774599741.7997622,1774599748.9003887,16197.954416275024,6493.572473526001,2603.4624576568604,7100.626468658447,2603.4624576568604,15-30s (较慢)
7,先说一，再说二，最后再说三。,我可以尝试解释这句谚语的意思，让你在了解后再给你一个具体答案。,1774599753.303009,1774599758.3308823,1774599759.5924916,1774599759.5926547,1774599763.6595943,1774599763.659723,1774599774.160702,20857.69295692444,6289.482593536377,4066.93959236145,10500.978946685791,4066.93959236145,15-30s (较慢)
8,把你好，倒过来读。,我能提供的信息很少，所以只能说出“我好”。,1774599776.9623334,1774599781.9917326,1774599783.258508,1774599783.2586796,1774599786.151446,1774599786.1515613,1774599794.5531693,17590.83580970764,6296.1745262146,2892.7664756774902,8401.607990264893,2892.7664756774902,15-30s (较慢)
9,天空是什么颜色？,天空呈白色。,1774599798.7557456,1774599803.7826102,1774599805.1624897,1774599805.1627083,1774599806.6369903,1774599806.6371038,1774599809.1377888,10382.04312324524,6406.744003295898,1474.2820262908936,2500.684976577759,1474.2820262908936,10-15s (一般)
10,鱼生活在水里还是土里？,鱼生活在水里。,1774599812.3396697,1774599817.371197,1774599818.6046855,1774599818.6048872,1774599820.2107868,1774599820.2109144,1774599822.911558,10571.888208389282,6265.0158405303955,1605.8995723724365,2700.643539428711,1605.8995723724365,10-15s (一般)
